Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename,,,cores,Total time
1,1.014,0,0,19,33,50,50,38.0789,1,maps/50mapAOR.bmp,,,,
1,419.578,0,0,219,877,1000,1000,903.93,1,maps/1000AOR_wObs.bmp,,,,
1,3.819,0,0,44,63,100,100,76.844,1,maps/100map.bmp,,,,
1,415.186,0,0,210,469,1000,1000,513.869,1,maps/1000Geometric.bmp,,,,
1,1.099,0,0,31,3,50,50,31.1448,1,maps/cross50.bmp,,,,
1,1.009,0,0,46,13,50,50,47.8017,1,maps/50map.bmp,,,,
1,0.99,0,0,20,40,50,50,44.7214,1,maps/50mapAOR.bmp,,,,
1,421.465,0,0,710,727,1000,1000,1016.18,1,maps/1000AOR_wObs.bmp,,,,
1,4.039,0,0,35,44,100,100,56.2228,1,maps/100map.bmp,,,,
1,417.412,0,0,412,538,1000,1000,677.634,1,maps/1000Geometric.bmp,,,,
1,1.257,0,0,26,34,50,50,42.8019,1,maps/cross50.bmp,,,,
1,1.017,0,0,28,15,50,50,31.7648,1,maps/50map.bmp,,,,
1,0.999,0,0,26,30,50,50,39.6989,1,maps/50mapAOR.bmp,,,,
1,414.572,0,0,166,853,1000,1000,869.002,1,maps/1000AOR_wObs.bmp,,,,
1,3.818,0,0,33,68,100,100,75.5844,1,maps/100map.bmp,,,,
1,412.432,0,0,340,467,1000,1000,577.658,1,maps/1000Geometric.bmp,,,,
1,1.245,0,0,39,19,50,50,43.382,1,maps/cross50.bmp,,,,
1,1.012,0,0,37,35,50,50,50.9313,1,maps/50map.bmp,,,,
1,0.969,0,0,30,16,50,50,34,1,maps/50mapAOR.bmp,,,,
1,415.289,0,0,658,271,1000,1000,711.621,1,maps/1000AOR_wObs.bmp,,,,
1,3.801,0,0,24,88,100,100,91.214,1,maps/100map.bmp,,,,
1,414.36,0,0,431,713,1000,1000,833.145,1,maps/1000Geometric.bmp,,,,
1,1.098,0,0,18,34,50,50,38.4708,1,maps/cross50.bmp,,,,
1,1.016,0,0,9,32,50,50,33.2415,1,maps/50map.bmp,,,,
1,1.013,0,0,25,17,50,50,30.2324,1,maps/50mapAOR.bmp,,,,
1,418.673,0,0,285,931,1000,1000,973.646,1,maps/1000AOR_wObs.bmp,,,,
1,4.023,0,0,92,44,100,100,101.98,1,maps/100map.bmp,,,,
1,418.489,0,0,373,454,1000,1000,587.576,1,maps/1000Geometric.bmp,,,,
1,1.091,0,0,5,44,50,50,44.2832,1,maps/cross50.bmp,,,,
