Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename,,,Threads,Run time(sec)
1,4.254,0,0,60,71,100,100,92.957,1,maps/100map.bmp,,,,
1,295.889,0,0,526,654,1000,1000,839.281,1,maps/1000Geometric.bmp,,,,
1,1.209,0,0,36,12,50,50,37.9473,1,maps/cross50.bmp,,,,
1,0.714,0,0,35,45,50,50,57.0088,1,maps/50map.bmp,,,,
1,1.122,0,0,39,30,50,50,49.2037,1,maps/50mapAOR.bmp,,,,
1,259.702,0,0,692,780,1000,1000,1042.72,1,maps/1000AOR_wObs.bmp,,,,
1,4.215,0,0,55,49,100,100,73.6614,1,maps/100map.bmp,,,,
1,373.966,0,0,607,1,1000,1000,607.001,1,maps/1000Geometric.bmp,,,,
1,1.226,0,0,37,19,50,50,41.5933,1,maps/cross50.bmp,,,,
1,0.692,0,0,6,38,50,50,38.4708,1,maps/50map.bmp,,,,
1,1.095,0,0,27,30,50,50,40.3609,1,maps/50mapAOR.bmp,,,,
1,260.229,0,0,683,726,1000,1000,996.777,1,maps/1000AOR_wObs.bmp,,,,
1,4.27,0,0,72,68,100,100,99.0353,1,maps/100map.bmp,,,,
1,293.909,0,0,328,838,1000,1000,899.904,1,maps/1000Geometric.bmp,,,,
1,1.221,0,0,32,10,50,50,33.5261,1,maps/cross50.bmp,,,,
1,0.714,0,0,37,47,50,50,59.8164,1,maps/50map.bmp,,,,
1,1.13,0,0,37,35,50,50,50.9313,1,maps/50mapAOR.bmp,,,,
1,239.132,0,0,734,422,1000,1000,846.664,1,maps/1000AOR_wObs.bmp,,,,
1,3.985,0,0,97,83,100,100,127.664,1,maps/100map.bmp,,,,
1,290.46,0,0,369,697,1000,1000,788.651,1,maps/1000Geometric.bmp,,,,
1,1.213,0,0,34,10,50,50,35.4401,1,maps/cross50.bmp,,,,
1,0.706,0,0,29,38,50,50,47.8017,1,maps/50map.bmp,,,,
1,1.02,0,0,18,20,50,50,26.9072,1,maps/50mapAOR.bmp,,,,
1,246.801,0,0,91,835,1000,1000,839.944,1,maps/1000AOR_wObs.bmp,,,,
1,4.184,0,0,29,62,100,100,68.4471,1,maps/100map.bmp,,,,
1,274.92,0,0,964,225,1000,1000,989.91,1,maps/1000Geometric.bmp,,,,
1,1.207,0,0,21,14,50,50,25.2389,1,maps/cross50.bmp,,,,
1,0.691,0,0,34,4,50,50,34.2345,1,maps/50map.bmp,,,,
1,1.11,0,0,37,16,50,50,40.3113,1,maps/50mapAOR.bmp,,,,
1,260.904,0,0,933,347,1000,1000,995.439,1,maps/1000AOR_wObs.bmp,,,,
1,4.41,0,0,79,85,100,100,116.043,1,maps/100map.bmp,,,,
1,271.086,0,0,768,128,1000,1000,778.594,1,maps/1000Geometric.bmp,,,,
1,1.341,0,0,19,30,50,50,35.5106,1,maps/cross50.bmp,,,,
1,0.722,0,0,13,41,50,50,43.0116,1,maps/50map.bmp,,,,
1,1.139,0,0,33,32,50,50,45.9674,1,maps/50mapAOR.bmp,,,,
1,242.217,0,0,59,540,1000,1000,543.214,1,maps/1000AOR_wObs.bmp,,,,
1,3.478,0,0,31,73,100,100,79.3095,1,maps/100map.bmp,,,,
1,313.601,0,0,696,488,1000,1000,850.035,1,maps/1000Geometric.bmp,,,,
1,1.228,0,0,6,29,50,50,29.6142,1,maps/cross50.bmp,,,,
1,0.697,0,0,32,3,50,50,32.1403,1,maps/50map.bmp,,,,
1,1.161,0,0,36,39,50,50,53.0754,1,maps/50mapAOR.bmp,,,,
1,239.718,0,0,703,476,1000,1000,848.991,1,maps/1000AOR_wObs.bmp,,,,
1,3.219,0,0,55,3,100,100,55.0818,1,maps/100map.bmp,,,,
1,291.468,0,0,184,853,1000,1000,872.62,1,maps/1000Geometric.bmp,,,,
1,1.243,0,0,10,47,50,50,48.0521,1,maps/cross50.bmp,,,,
1,0.71,0,0,3,42,50,50,42.107,1,maps/50map.bmp,,,,
1,1.054,0,0,20,39,50,50,43.8292,1,maps/50mapAOR.bmp,,,,
1,262.443,0,0,742,921,1000,1000,1182.71,1,maps/1000AOR_wObs.bmp,,,,
1,4.201,0,0,42,56,100,100,70,1,maps/100map.bmp,,,,
1,239.84,0,0,290,984,1000,1000,1025.84,1,maps/1000Geometric.bmp,,,,
1,1.761,0,0,32,29,50,50,43.1856,1,maps/cross50.bmp,,,,
1,0.709,0,0,47,28,50,50,54.7083,1,maps/50map.bmp,,,,
1,0.991,0,0,22,20,50,50,29.7321,1,maps/50mapAOR.bmp,,,,
1,269.806,0,0,894,907,1000,1000,1273.53,1,maps/1000AOR_wObs.bmp,,,,
1,3.563,0,0,51,10,100,100,51.9711,1,maps/100map.bmp,,,,
1,260.572,0,0,953,665,1000,1000,1162.08,1,maps/1000Geometric.bmp,,,,
1,1.744,0,0,27,24,50,50,36.1248,1,maps/cross50.bmp,,,,
1,0.704,0,0,33,23,50,50,40.2244,1,maps/50map.bmp,,,,
1,1.137,0,0,27,14,50,50,30.4138,1,maps/50mapAOR.bmp,,,,
